dokument_aar,dokument_nr,embete
2013,937939,200
2013,126895,201
2013,107066,201
2013,699552,200
2013,90496,200
2013,405295,200
2013,994207,200
2013,4832,201
2013,244905,200
2013,934028,200
2013,881748,200
2013,202044,201
2013,1031004,200
2013,648941,200
2013,24838,200
2013,184911,200
2013,153680,200
2013,506460,200
2014,781704,200
2014,84675,200
2014,753005,200
2014,155877,200
2014,146391,200
2014,619209,200
2014,1046953,200
2014,80536,201
2014,413507,200
2014,1053171,200
2014,862052,200
2014,853197,200
2014,211279,201
2014,731568,200
2014,326044,200
2014,1129621,200
2014,1115327,200
2014,641172,200
2014,1076290,200
2014,41016,201
2014,157695,201
2014,440675,200
2015,168550,200
2015,180086,200
2015,951239,200
2015,923901,200
2015,1101955,200
2015,72561,200
2015,615377,200
2015,277866,200
2015,321819,200
2015,65202,201
2015,742726,200
2015,381354,200
2015,506266,200
2015,168935,200
2015,203290,200
2015,700301,200
2015,169205,201
2015,493188,200
2015,610771,200
2015,560587,200
2015,64543,201
2015,1045025,200
2016,507716,200
2016,336421,200
2016,228707,200
2016,75025,201
2016,209315,201
2016,1014816,200
2016,762372,200
2016,1118845,200
2016,1017782,200
2016,1117754,200
2016,901657,200
2016,1110375,200
2016,1193701,200
2016,302868,200
2016,772797,200
2016,488848,200
2016,543550,200
2016,106723,200
2016,772032,200
2016,512873,200
2016,850623,200
2016,721043,200
2017,1100595,200
2017,482989,200
2017,1118545,200
2017,52610,201
2017,206085,200
2017,1453882,200
2017,784980,200
2017,1278562,200
2017,1346928,200
2017,904614,200
2017,436349,200
2017,1088613,200
2017,504467,200
2017,55910,201
2017,1141745,200
2017,592731,200
2017,603719,200
2017,915635,200
2017,46784,201
2017,35307,200
2017,189882,200
2017,1080836,200
2018,522231,200
2018,593490,200
2018,531784,200
2018,1429764,200
2018,282190,200
2018,399840,200
2018,1088652,200
2018,1555865,200
2018,438079,200
2018,897216,200
2018,1131324,200
2018,438759,200
2018,903533,200
2018,1643765,200
2018,1708308,200
2018,1167501,200
2018,534777,200
2018,1352778,200
2018,1275799,200
2018,498101,200
2018,967892,200
2018,550204,200
2019,1038133,200
2019,511451,200
2019,430172,200
2019,1225305,200
2019,589579,200
2019,189150,200
2019,868222,200
2019,621793,200
2019,743708,200
2019,1227535,200
2019,1071888,200
2019,1304640,200
2019,703442,200
2019,615340,200
2019,62975,200
2019,509345,200
2019,52112,200
2019,913939,200
2019,491259,200
2019,663770,200
2019,30572,200
2019,1444722,200
2020,3387309,200
2020,3199198,200
2020,2216128,200
2020,2343122,200
2020,2771413,200
2020,2572922,200
2020,2352137,200
2020,2410066,200
2020,2195069,200
2020,3314863,200
2020,3517708,200
2020,2833415,200
2020,3086933,200
2020,2168112,200
2020,3478186,200
2020,3518501,200
2020,3451668,200
2020,1951518,200
2020,2725417,200
2020,2699093,200
2020,3158581,200
2020,2412059,200
2021,1592415,200
2021,606770,200
2021,294527,200
2021,685943,200
2021,1007209,200
2021,681770,200
2021,888555,200
2021,1138888,200
2021,619751,200
2021,782247,200
2021,96719,200
2021,762480,200
2021,972789,200
2021,384561,200
2021,901383,200
2021,903798,200
2021,364571,200
2021,1629000,200
2021,1088080,200
2021,1176124,200
2021,1060965,200
2021,1061781,200
2022,317216,200
2022,1022901,200
2022,1202999,200
2022,847491,200
2022,881123,200
2022,590998,200
2022,831414,200
2022,877487,200
2022,370586,200
2022,1284592,200
2022,1170452,200
2022,1193753,200
2022,441205,200
2022,1029431,200
2022,1137643,200
2022,620769,200
2022,218519,200
2022,711977,200
2022,937030,200
2022,1387847,200
2022,1041627,200
2022,147764,200
2023,73413,200
2023,5061,200
2023,15993,200
2023,42267,200
2023,58017,200
2023,34420,200
2023,72403,200
2023,42200,200
2023,56381,200
2023,19385,200
2023,59936,200
2023,38351,200
2023,11713,200
2023,37484,200
2023,72893,200
2023,27770,200
2023,12562,200
2023,62529,200
2023,45639,200
2023,73325,200
2023,18713,200
2023,37315,200
1980,3919,23
1980,3919,23
1980,1442,30
1980,9219,51
1980,5963,78
1980,24275,105
1980,728,6
1980,619,29
1980,3263,22
1980,2959,71
1980,2672,70
1980,8144,51
1980,17754,105
1981,24534,106
1981,302143,97
1981,4139,15
1981,13706,102
1981,4725,44
1981,9546,50
1981,4138,20
1981,408848,90
1981,405576,90
1981,4491,35
1981,509948,105
1982,22142,100
1982,6003,21
1982,11016,107
1982,9221,68
1982,2532,15
1982,16010,105
1982,862,48
1982,8251,71
1982,93,54
1982,9147,101
1982,242,10
1983,1061,31
1983,13943,50
1983,11004,6
1983,2004,41
1983,8433,87
1983,3923,26
1983,5708,64
1983,6698,61
1983,2075,45
1983,8331,74
1983,5576,90
1984,9588,17
1984,2532,53
1984,19738,101
1984,41318,105
1984,401301,97
1984,34408,100
1984,21069,107
1984,2258,82
1984,4297,8
1984,3453,26
1984,4381,107
1985,6581,60
1985,16687,100
1985,9503,105
1985,26244,106
1985,1750,75
1985,4699,8
1985,37377,105
1985,2600,37
1985,404536,90
1985,669,86
1985,1149,32
1986,29137,100
1986,61,77
1986,7079,66
1986,83697,105
1986,2732,42
1986,809,53
1986,2065,37
1986,36892,106
1986,21180,100
1986,2649,6
1986,30680,100
1987,3152,22
1987,153,86
1987,919,82
1987,301677,3
1987,100990,93
1987,104584,63
1987,6744,45
1987,46178,105
1987,303859,3
1987,3949,86
1987,146,9
1988,10640,51
1988,15578,50
1988,10482,29
1988,3811,20
1988,9783,11
1988,3199,14
1988,17025,105
1988,2720,105
1988,13127,67
1988,6827,9
1988,7142,90
1989,38719,100
1989,4192,84
1989,6270,86
1989,6628,87
1989,64,18
1989,42908,105
1989,1370,57
1989,40951,106
1989,4619,19
1989,350,69
1989,4563,39
1990,3851,60
1990,6937,90
1990,3429,55
1990,15823,91
1990,1026,52
1990,2710,68
1990,1648,61
1990,1804,15
1990,5422,65
1990,67523,105
1990,3747,107
1991,7513,50
1991,13431,105
1991,9343,67
1991,6404,86
1991,3895,3
1991,3026,79
1991,2629,21
1991,5978,11
1991,31724,105
1991,32475,106
1991,6230,22
1992,47,9
1992,2406,33
1992,15009,93
1992,2088,97
1992,3261,32
1992,5400,22
1992,48,55
1992,29430,100
1992,7783,91
1992,3185,16
1992,22477,106
1993,2633,25
1993,3412,91
1993,4719,100
1993,11198,51
1993,4876,87
1993,9949,51
1993,4418,67
1993,17429,102
1993,12063,107
1993,22329,106
1993,2179,44
1994,1733,40
1994,5911,83
1994,15253,6
1994,8918,75
1994,5542,29
1994,3647,45
1994,2166,87
1994,6304,22
1994,34080,105
1994,6934,29
1994,4854,10
1995,7226,91
1995,728,22
1995,7708,20
1995,8745,61
1995,46627,105
1995,5884,45
1995,5423,63
1995,3296,106
1995,5486,17
1995,60022,105
1995,710,84
1996,6389,78
1996,4693,11
1996,5099,63
1996,1250,85
1996,11308,91
1996,509,22
1996,3379,56
1996,4298,50
1996,3171,15
1996,2654,31
1996,5571,91
1997,1009,82
1997,10463,8
1997,925,63
1997,9088,11
1997,9036,86
1997,1648,77
1997,1620,13
1997,4140,79
1997,21446,107
1997,2936,48
1997,8105,49
1998,3150,83
1998,2768,42
1998,14040,105
1998,19231,100
1998,2051,8
1998,59449,105
1998,18039,107
1998,897,56
1998,2035,74
1998,2692,83
1998,12567,74
1999,6065,29
1999,8349,60
1999,1687,47
1999,17092,101
1999,1029,11
1999,10833,107
1999,17454,8
1999,4458,65
1999,4373,22
1999,5623,20
1999,9627,58
2000,7855,36
2000,8079,50
2000,13705,90
2000,916,71
2000,12594,100
2000,6700,45
2000,6409,72
2000,2997,33
2000,1126,45
2000,34031,100
2000,14988,91
2001,1493,18
2001,27621,105
2001,5965,105
2001,81061,105
2001,5723,78
2001,15128,90
2001,45682,105
2001,5683,2
2001,2369,15
2001,588,52
2001,12199,8
2002,12606,10
2002,2300,69
2002,6521,90
2002,6603,28
2002,7685,37
2002,9355,106
2002,28,68
2002,15747,6
2002,8171,5
2002,3582,2
2002,639,48
2003,3174,68
2003,31319,106
2003,6841,68
2003,16946,101
2003,2752,71
2003,4215,9
2003,9456,74
2003,10633,47
2003,377,79
2003,4456,60
2003,9402,86
2004,64209,105
2004,3605,23
2004,2489,11
2004,5492,55
2004,69,23
2004,6181,46
2004,57175,105
2004,12510,3
2004,6358,37
2004,922,37
2004,4967,79
2005,11430,102
2005,6039,39
2005,1242,5
2005,184492,200
2005,1410,78
2005,1149,10
2005,4650,44
2005,1847,47
2005,1304,13
2005,8770,102
2005,3180,58
2006,112451,200
2006,639114,200
2006,516457,200
2006,488284,200
2006,2146,31
2006,237314,200
2006,280834,200
2006,8746,106
2006,4379,26
2006,166040,200
2006,275111,200
2007,807050,200
2007,194479,201
2007,1003047,200
2007,620521,200
2007,711459,200
2007,321820,200
2007,1048473,200
2007,628717,200
2007,264484,200
2007,5064,201
2007,1021672,200
2008,532733,200
2008,494444,200
2008,911455,200
2008,757910,200
2008,468332,200
2008,56189,200
2008,890503,200
2008,917839,200
2008,187575,200
2008,27321,201
2008,486593,200
2009,152330,200
2009,142223,200
2009,662147,200
2009,72106,200
2009,776687,200
2009,297279,200
2009,410213,200
2009,134881,201
2009,986615,200
2009,855429,200
2009,154662,201
2010,54129,200
2010,60704,200
2010,188352,201
2010,113487,201
2010,9356,201
2010,542856,200
2010,119817,201
2010,647369,200
2010,166728,200
2010,336405,200
2010,281343,200
2011,679138,200
2011,52476,200
2011,707647,200
2011,183105,200
2011,975778,200
2011,419012,200
2011,128620,201
2011,1000586,200
2011,574,200
2011,130640,201
2011,260445,200
2012,574969,200
2012,140296,200
2012,1018542,200
2012,234300,200
2012,124170,201
2012,779776,200
2012,895084,200
2012,137428,201
2012,88969,200
2012,1001637,200
2012,394845,200
2013,128894,200
2013,99857,200
2013,203794,200
2013,255366,200
2013,134506,201
2013,14241,201
2013,372491,200
2013,271128,200
2013,171021,200
2013,866884,200
2013,161072,200
2014,525669,200
2014,885599,200
2014,138317,201
2014,200497,200
2014,171393,200
2014,124626,201
2014,60086,200
2014,14700,200
2014,283262,200
2014,847005,200
2014,1035931,200
2015,217327,201
2015,354875,200
2015,223046,200
2015,815548,200
2015,80453,201
2015,49756,200
2015,1071764,200
2015,717721,200
2015,144684,200
2015,103696,201
2015,926163,200
2016,1145522,200
2016,180011,201
2016,403323,200
2016,673502,200
2016,115796,200
2016,756571,200
2016,445108,200
2016,765135,200
2016,81943,201
2016,890868,200
2016,80037,200
2017,1416376,200
2017,181220,200
2017,205990,200
2017,979314,200
2017,573110,200
2017,28721,200
2017,410312,200
2017,1102239,200
2017,1347210,200
2017,987237,200
2017,482191,200
2018,327387,200
2018,1310224,200
2018,1209098,200
2018,1518143,200
2018,344251,200
2018,1036244,200
2018,618217,200
2018,323954,200
2018,1080729,200
2018,1068293,200
2018,1672591,200
2019,567609,200
2019,670292,200
2019,902979,200
2019,237553,200
2019,73102,200
2019,1018157,200
2019,743399,200
2019,890131,200
2019,124742,200
2019,1106901,200
2019,640103,200
2020,2857701,200
2020,2304437,200
2020,2388570,200
2020,2311645,200
2020,2042831,200
2020,3536637,200
2020,1954392,200
2020,2325605,200
2020,2021708,200
2020,2950090,200
2020,2426120,200
2021,111320,200
2021,1469472,200
2021,1119865,200
2021,90796,200
2021,817748,200
2021,1241748,200
2021,791990,200
2021,1029360,200
2021,323344,200
2021,346386,200
2021,718978,200
2022,446714,200
2022,330354,200
2022,790945,200
2022,525526,200
2022,1405477,200
2022,573461,200
2022,1206767,200
2022,156756,200
2022,1445676,200
2022,362219,200
2022,168447,200
2023,70184,200
2023,35430,200
2023,27235,200
2023,7209,200
2023,17960,200
2023,3210,200
2023,1633,200
2023,72624,200
2023,41009,200
2023,46572,200
2023,11320,200
