dokument_aar,dokument_nr,embete,sidetall,index,type,height,width,x,y
1986,7007,29,1,0,PERSONNUMMER,8.947368421052602,34.73684210526318,350.26315789473665,789.9999999999997
1986,14816,93,1,0,PERSONNUMMER,13.333333333333343,31.666666666666686,439.44444444444446,208.33333333333334
1986,14816,93,1,1,PERSONNUMMER,12.222222222222229,31.666666666666686,477.77777777777777,191.11111111111111
1984,12775,49,1,0,PERSONNUMMER,10.555555555555543,28.8888888888888,526.6666666666667,336.11111111111114
1984,12775,49,1,1,PERSONNUMMER,11.111111111111143,29.444444444444457,527.7777777777778,419.44444444444446
1984,12775,49,1,2,PERSONNUMMER,11.111111111111086,31.1111111111112,525.5555555555555,443.33333333333337
1986,4199,105,1,0,PERSONNUMMER,-14.642137311602454,-52.50038842078083,534.2861027064884,177.14231726941458
1986,4199,105,1,1,PERSONNUMMER,-14.642857142857139,-48.571428571428555,527.142857142857,266.7857142857142
1986,4199,105,1,2,PERSONNUMMER,-14.285714285714299,-38.92876563895932,475.0001942103871,636.0712936030667
1986,1509,82,1,0,PERSONNUMMER,8.68421052631578,36.842105263157805,543.4210526315787,300.2631578947367
1986,1509,82,1,1,PERSONNUMMER,8.947368421052659,30.263157894736878,548.6842105263155,408.42105263157873
1987,28581,105,1,0,PERSONNUMMER,11.111111111111114,30.555555555555486,505.5555555555556,175.55555555555557
1987,28581,105,1,1,PERSONNUMMER,9.444444444444429,29.4444444444444,506.11111111111114,187.7777777777778
1987,28581,105,1,2,PERSONNUMMER,10,31.111111111111086,505,260
1986,12595,90,1,0,PERSONNUMMER,8.42105263157896,35.26315789473682,137.63157894736835,185.52631578947359
1986,8471,74,1,0,PERSONNUMMER,9.999999999999943,35,538.5714285714284,258.21428571428567
1986,8471,74,1,1,PERSONNUMMER,10.357142857142806,35.000093681202245,544.6427634616541,333.9285714285706
1986,8471,74,2,2,PERSONNUMMER,-10.357142857142804,-35.00007026090214,60.35721311804498,263.9285714285706
1986,8471,74,2,3,PERSONNUMMER,-13.571428571428555,-35.7142857142857,54.642857142857125,341.78571428571416
1987,266,29,1,0,PERSONNUMMER,13.333333333333314,42.777777777777715,531.6666666666667,319.44444444444446
1987,266,29,1,1,PERSONNUMMER,15,38.888888888888914,532.7777777777778,427.22222222222223
1987,24712,106,1,0,PERSONNUMMER,11.428571428571416,36.0714285714285,509.28571428571416,239.99999999999994
1987,2603,97,1,0,PERSONNUMMER,13.888888888888886,39.44444444444446,431.11111111111114,161.11111111111111
1987,2603,97,1,1,PERSONNUMMER,13.333333333333343,37.22222222222223,322.77777777777777,234.44444444444446
1987,2603,97,1,2,PERSONNUMMER,13.888888888888886,38.88888888888886,343.8888888888889,216.11111111111111
1987,2603,97,1,3,PERSONNUMMER,20,64.99999999999997,252.7777777777778,765
1987,3758,21,1,0,PERSONNUMMER,10.555555555555543,37.77777777777783,515,141.66666666666669
1987,3758,21,1,1,PERSONNUMMER,14.444444444444457,36.66666666666663,532.7777777777778,562.7777777777778
1987,116,1,1,0,PERSONNUMMER,9.4736842105263,37.10526315789474,429.21052631578925,163.42105263157887
1987,116,1,1,1,PERSONNUMMER,8.94736842105263,33.68421052631578,394.73684210526295,236.05263157894726
1987,116,1,1,2,PERSONNUMMER,8.68421052631578,33.68421052631578,394.73684210526295,253.68421052631567
1987,116,1,1,3,PERSONNUMMER,12.368343894558892,51.57908486988321,444.4735467090651,629.4737613685996
1987,108656,8,1,0,PERSONNUMMER,9.4736842105263,28.947426596778385,465.52625761374793,215.26315789473688
1987,108656,8,1,1,PERSONNUMMER,9.210526315789464,30.526461228788435,543.4209071922648,215.52631578947393
1987,108656,8,3,2,PERSONNUMMER,8.68421052631578,35,493.15789473684185,141.31578947368413
1987,108656,8,3,3,PERSONNUMMER,9.21052631578948,42.10526315789474,500.5263157894735,180.78947368421044
1987,108656,8,3,4,PERSONNUMMER,8.421052631578931,41.31578947368422,501.0526315789471,193.6842105263157
1988,6332,43,1,0,PERSONNUMMER,12.777777777777771,43.88888888888886,336.11111111111114,141.11111111111111
1988,6332,43,1,1,PERSONNUMMER,10.555555555555543,45,357.22222222222223,189.44444444444446
1988,6332,43,1,2,PERSONNUMMER,8.888888888888886,43.33333333333337,357.22222222222223,214.44444444444446
1988,4589,51,1,0,PERSONNUMMER,13.333333333333314,36.66666666666663,455.5555555555556,150.55555555555557
1988,13914,101,1,0,PERSONNUMMER,11.111111111111086,32.22222222222223,463.33333333333337,316.6666666666667
1988,13914,101,1,1,PERSONNUMMER,10,32.77777777777777,474.44444444444446,426.6666666666667
1988,5513,106,1,0,PERSONNUMMER,12.777777777777771,35.55555555555554,537.7777777777778,321.6666666666667
1988,5513,106,1,1,PERSONNUMMER,9.444444444444457,37.222222222222285,544.4444444444445,431.6666666666667
1987,7294,79,1,0,PERSONNUMMER,12.222222222222229,37.77777777777777,477.22222222222223,170
1987,7294,79,1,1,PERSONNUMMER,11.111111111111114,36.666666666666686,110,207.22222222222223
1988,10346,49,1,0,PERSONNUMMER,10.555555555555557,37.222222222222285,500,95.55555555555556
1988,10346,49,1,1,PERSONNUMMER,10.555555555555543,36.666666666666686,332.77777777777777,647.7777777777778
1988,10346,49,1,2,PERSONNUMMER,12.777777777777828,38.33333333333334,222.7777777777778,755.5555555555555
1988,10346,49,1,3,PERSONNUMMER,10,39.44444444444446,499.44444444444446,756.1111111111112
1988,2197,31,1,0,PERSONNUMMER,11.666666666666657,36.111111111111086,466.11111111111114,237.7777777777778
1988,6812,105,1,0,PERSONNUMMER,11.111111111111086,38.333333333333314,441.11111111111114,161.66666666666669
1988,6812,105,1,1,PERSONNUMMER,11.666666666666657,37.77777777777777,435,251.11111111111111
1987,32962,100,1,0,PERSONNUMMER,12.777777777777771,31.66666666666663,427.7779641324058,215.55556128523614
1987,32962,100,2,1,PERSONNUMMER,10,33.333333333333314,279.99981364537206,448.33333906301397
1989,7083,74,1,0,PERSONNUMMER,11.1111111111112,35.55555555555557,167.22222222222223,520.5555555555555
1989,7083,74,1,1,PERSONNUMMER,9.444444444444343,36.66666666666666,165.55555555555557,641.6666666666667
1988,73867,105,1,0,PERSONNUMMER,12.777777777777771,37.222222222222285,505,165.55555555555557
1988,73867,105,1,1,PERSONNUMMER,10.555555555555571,37.77777777777783,504.44444444444446,178.88888888888889
1988,73867,105,1,2,PERSONNUMMER,12.777777777777771,38.33333333333337,504.44444444444446,237.7777777777778
2016,772032,200,1,0,PERSONNUMMER,10.555555555555543,26.66666666666667,123.8888888888889,457.22222222222223
2016,772032,200,1,1,PERSONNUMMER,11.111111111111086,26.66666666666667,123.8888888888889,471.6666666666667
2016,772032,200,1,2,PERSONNUMMER,10.555555555555543,26.1111111111111,123.8888888888889,572.2222222222223
2016,772032,200,1,3,PERSONNUMMER,10.555555555555543,26.66666666666667,123.8888888888889,589.4444444444445
2016,850623,200,1,0,PERSONNUMMER,11.111111111111086,30.555555555555543,448.8888888888889,182.7777777777778
2016,850623,200,1,1,PERSONNUMMER,12.777777777777771,30.5555555555556,448.88926159814497,211.66666093698615
2018,550204,200,1,0,PERSONNUMMER,18.333333333333343,43.888888888888914,451.6666666666667,177.22222222222223
2018,550204,200,2,1,PERSONNUMMER,16.66676953674168,43.33333333333341,503.88888888888874,456.1110082410361
2018,498101,200,1,0,PERSONNUMMER,10,29.444444444444457,470,221.11111111111111
2018,498101,200,1,1,PERSONNUMMER,10.000000000000028,30.555555555555543,469.44481715370046,237.77778923713885
2017,46784,201,1,0,PERSONNUMMER,9.5,30,397.5,260.5
2017,46784,201,1,1,PERSONNUMMER,8.5,30,225,469.5
2017,46784,201,1,2,PERSONNUMMER,9,30.5,111.5,539
2019,868222,200,1,0,PERSONNUMMER,11.111111111111114,31.66666666666663,532.2222222222223,215.55555555555557
2019,868222,200,1,1,PERSONNUMMER,10.555555555555543,31.111111111111086,532.2222222222223,239.44444444444446
2022,881123,200,1,0,PERSONNUMMER,11.666666666666686,27.22222222222223,403.3331284534088,295.0001583161013
2022,881123,200,1,1,PERSONNUMMER,13.333333333333371,26.666666666666657,207.22222222222223,564.4444444444445
2022,881123,200,1,2,PERSONNUMMER,10,27.22222222222223,75.55555555555556,668.3333333333334
2022,831414,200,1,0,PERSONNUMMER,12.222222222222229,26.666666666666686,403.8888888888889,285.55555555555554
2022,831414,200,1,1,PERSONNUMMER,12.222222222222229,26.111111111111143,404.44423956451993,301.66650835056544
2022,831414,200,1,2,PERSONNUMMER,12.777777777777828,26.111111111111114,207.22222222222223,581.1111111111111
2022,831414,200,1,3,PERSONNUMMER,11.666666666666629,26.111111111111086,207.22201734229768,597.2222222222224
2022,831414,200,1,4,PERSONNUMMER,12.222222222222172,26.66666666666667,76.11111111111111,692.7774611455753
2022,831414,200,1,5,PERSONNUMMER,12.222222222222285,27.22222222222223,75.55555555555557,723.8885722566866
2023,42200,200,1,0,PERSONNUMMER,11.666666666666629,26.111111111111086,403.8888888888889,268.33333333333337
2023,42200,200,1,1,PERSONNUMMER,10.555555555555543,26.666666666666686,206.11111111111111,548.8888888888889
2023,42200,200,1,2,PERSONNUMMER,10,27.22222222222223,75.55555555555556,676.6666666666667
2023,38351,200,1,0,PERSONNUMMER,10.5,28,403,287.5
2023,38351,200,1,1,PERSONNUMMER,11,28.5,207,614.5
2023,38351,200,1,2,PERSONNUMMER,9.5,26,76,727
1988,2613,52,1,0,PERSONNUMMER,8.68421052631578,35.526315789473756,534.473684210526,300.2631578947367
1988,2613,52,1,1,PERSONNUMMER,8.68421052631578,34.47368421052636,535.2631578947365,408.42105263157873
1989,864,23,1,0,PERSONNUMMER,11.111111111111114,36.666666666666686,469.44444444444446,204.44444444444446
1989,9689,87,1,0,PERSONNUMMER,11.111111111111112,38.33265682344985,435.5945394377077,166.111111111111
1989,9689,87,1,1,PERSONNUMMER,11.111111111111114,36.666666666666686,435,177.77777777777777
